Year,Nation,Fin,Sperm,Humpback,Sei,Brydes,CommonMinke,AntarcticMinke,Gray,Bowhead,Total
2017,Indonesia,0,27,0,0,0,0,0,0,0,27
2017,Japan,0,0,0,134,0,129,333,0,0,596
2017,Korea,0,0,0,0,0,2,0,0,0,2
2017,Norway,0,0,0,0,0,432,0,0,0,432
2017,Russia,0,0,0,0,0,0,0,119,1,120
2017,Saint Vincent & the Grenadines,0,0,1,0,0,0,0,0,0,1
2017,United States,0,0,0,0,0,0,0,1,57,58
2018,Canada,0,0,0,0,0,0,0,0,3,3
2018,Denmark/Greenland,7,0,6,0,0,118,0,0,0,131
2018,Iceland,146,0,0,0,0,6,0,0,0,152
2018,Indonesia,0,15,0,0,0,0,0,0,0,15
2018,Japan,0,0,0,135,0,171,334,0,0,640
2018,Korea,0,0,0,0,0,2,0,0,0,2
2018,Norway,0,0,0,0,0,454,0,0,0,454
2018,Russia,0,0,0,0,0,0,0,107,0,107
2018,United States,0,0,0,0,0,0,0,1,68,69
2019,Canada,0,0,0,0,0,0,0,0,4,4
2019,Denmark/Greenland,8,0,4,0,0,171,0,0,0,183
2019,Indonesia,0,18,0,0,0,0,0,0,0,18
2019,Japan,0,0,0,25,187,123,0,0,0,335
2019,Korea,0,0,0,0,0,6,0,0,0,6
2019,Norway,0,0,0,0,0,429,0,0,0,429
2019,Russia,0,0,0,0,0,0,0,137,1,138
2019,Saint Vincent & the Grenadines,0,0,3,0,0,0,0,0,0,3
2019,United States,0,0,0,0,0,0,0,0,36,36
2020,Canada,0,0,0,0,0,0,0,0,1,1
2020,Denmark/Greenland,3,0,4,0,0,182,0,0,0,189
2020,Indonesia,0,18,0,0,0,0,0,0,0,18
2020,Japan,0,0,0,25,187,95,0,0,0,307
2020,Korea,0,0,0,0,0,2,0,0,0,2
2020,Norway,0,0,0,0,0,503,0,0,0,503
2020,Russia,0,0,0,0,0,0,0,136,0,136
2020,United States,0,0,0,0,0,0,0,0,69,69
2021,Canada,0,0,0,0,0,0,0,0,2,2
2021,Denmark/Greenland,2,0,5,0,0,198,0,0,0,205
2021,Iceland,0,0,0,0,0,1,0,0,0,1
2021,Indonesia,0,18,0,0,0,0,0,0,0,18
2021,Japan,0,0,0,25,187,91,0,0,0,303
2021,Korea,0,0,0,0,0,12,0,0,0,12
2021,Norway,0,0,0,0,0,577,0,0,0,577
2021,Russia,0,0,0,0,0,0,0,127,0,127
2021,Saint Vincent & the Grenadines,0,0,1,0,0,0,0,0,0,1
2021,United States,0,0,0,0,0,0,0,0,70,70
2022,Canada,0,0,0,0,0,0,0,0,3,3
2022,Denmark/Greenland,4,0,1,0,0,166,0,0,1,172
2022,Iceland,148,0,0,0,0,0,0,0,0,148
2022,Japan,0,0,0,25,187,58,0,0,0,270
2022,Korea,0,0,0,0,0,5,0,0,0,5
2022,Norway,0,0,0,0,0,581,0,0,0,581
2022,Russia,0,0,0,0,0,0,0,124,0,124
2022,Saint Vincent & the Grenadines,0,0,1,0,0,0,0,0,0,1
2022,United States,0,0,0,0,0,0,0,0,68,68
2023,Denmark/Greenland,2,0,3,0,0,183,0,0,0,188
2023,Iceland,24,0,0,0,0,0,0,0,0,24
2023,Japan,0,0,0,24,187,83,0,0,0,294
2023,Korea,0,0,0,0,0,17,0,0,0,17
2023,Norway,0,0,0,0,0,507,0,0,0,507
2023,Russia,0,0,0,0,0,0,0,130,1,131
2023,Saint Vincent & the Grenadines,0,0,1,0,0,0,0,0,0,1
2023,United States,0,0,0,0,0,0,0,0,55,55
